link,price,beds,baths,square footage,property type,property address,Latitude,Longitude,description,Heating,Garage,Parking,Garden,Fireplace,Balcony,Pool,Grocery,Restaurants,Shopping,Cafes,Walking,Cycling,Transit,Driving,City
https://www.remax.ca/luxury/bc/new-westminster-real-estate/221-richmond-street-wp_idm00000671-r3019773-lst,1689900,4,4,2340.0,house,"221 RICHMOND STREET, NEW WESTMINSTER, BC V3L 4B5",49.2240922,-122.8990765,"Heating: Forced Air, Natural Gas
Fireplace: Yes
Basement: None
Acreage: 0.10
Garage: Yes
Parking Features: Additional Parking, Garage Double, Guest, Front Access, Lane Access, Concrete
Fireplace Features: Gas
Exterior Features: Private Yard
",Forced Air,Yes,Yes,No,Yes,No,No,6.6,9.8,6.9,6.5,9.6,7.1,6.7,6.8,BURNABY
https://www.remax.ca/luxury/bc/burnaby-real-estate/7724-goodlad-street-wp_idm00000671-r3019764-lst,1625000,5,5,1950.0,house,"7724 GOODLAD STREET, BURNABY, BC V5E 2H6",49.2278066,-122.9448811,"Heating: Baseboard, Forced Air
Basement: Full
Acreage: 0.14
Parking Features: None
Exterior Features: Balcony
",Baseboard,No,Yes,No,No,Yes,No,6.4,8.5,5.9,5.8,9.3,5.9,8.9,6.6,BURNABY
https://www.remax.ca/bc/vancouver-real-estate/2060-se-kent-avenue-wp_idm00000671-r3019765-lst,1239000,3,3,1537.0,townhouse,"2060 SE KENT AVENUE, VANCOUVER, BC V5P 4X2",49.2067167,-123.0650321,"Heating: Baseboard, Electric
Fireplace: Yes
Garage: Yes
Waterfront: Yes
Parking Features: Garage Under Building, Garage Single, Guest, Front Access, Concrete, Garage Door Opener
Fireplace Features: Insert, Gas
Exterior Features: Garden, Balcony
",Baseboard,Yes,Yes,Yes,Yes,Yes,No,8.1,7.1,7.1,5.0,5.9,9.9,5.9,8.7,VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/101-6859-cambie-street-wp_idm00000671-r3019762-lst,514900,0,0,435.0,condo,"101-6859 CAMBIE STREET, VANCOUVER, BC V6P 0M4",49.223083,-123.1171319,"Heating: Heat Pump
Garage: Yes
Parking Features: Garage Under Building, Concrete
Exterior Features: No Outdoor Area
",Heat Pump,Yes,Yes,No,No,No,No,6.0,6.1,9.0,7.4,9.3,4.7,10.0,7.1,VANCOUVER
https://www.remax.ca/luxury/bc/burnaby-real-estate/7149-broadway-wp_idm00000671-r3019757-lst,1975000,0,0,2502.0,house,"7149 BROADWAY, BURNABY, BC V5A 1R7",49.2614351,-122.954836,"Heating: Electric
Basement: None
Acreage: 0.24
Garage: Yes
Parking Features: Garage Single
Exterior Features: Balcony
",Electric,Yes,Yes,No,No,Yes,No,8.2,10.0,9.6,7.2,7.6,6.1,8.2,6.7,BURNABY
https://www.remax.ca/bc/north-vancouver-real-estate/607-1632-lions-gate-lane-wp_idm00000671-r3019749-lst,1124000,2,2,898.0,condo,"607-1632 LIONS GATE LANE, NORTH VANCOUVER, BC V7P 0E2",49.3248527,-123.1225206,"Heating: Heat Pump
Garage: Yes
Parking Features: Underground, Side Access, Garage Door Opener
Exterior Features: Playground, Balcony
",Heat Pump,Yes,Yes,No,No,Yes,No,9.5,7.1,8.5,9.2,6.8,6.7,8.8,3.6,NORTH VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/503-7638-cambie-street-wp_idm00000671-r3019739-lst,1199000,2,2,1101.0,condo,"503-7638 CAMBIE STREET, VANCOUVER, BC V6P 3H7",49.2156776,-123.1164036,"Heating: Heat Pump
Garage: Yes
Parking Features: Underground, Side Access
Exterior Features: Balcony
",Heat Pump,Yes,Yes,No,No,Yes,No,9.5,8.0,6.7,5.7,6.2,6.2,7.0,9.0,VANCOUVER
https://www.remax.ca/bc/burnaby-real-estate/2905-6088-willingdon-avenue-wp_idm00000671-r3019741-lst,769000,2,2,930.0,condo,"2905-6088 WILLINGDON AVENUE, BURNABY, BC V5H 4V2",49.2289998,-123.0057187,"Heating: Electric
Garage: Yes
Parking Features: Garage Under Building, Side Access
Exterior Features: Balcony
",Electric,Yes,Yes,No,No,Yes,No,6.7,5.1,4.8,6.9,6.5,9.3,7.0,5.1,BURNABY
https://www.remax.ca/bc/new-westminster-real-estate/414-500-royal-ave-avenue-wp_idm00000671-r3019557-lst,734500,2,2,848.0,condo,"414-500 ROYAL AVE AVENUE, NEW WESTMINSTER, BC V3L 0G5",49.2063048,-122.9090127,"Heating: Baseboard, Electric
Garage: Yes
Parking Features: Underground, Guest, Lane Access, Rear Access, Concrete
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,No,Yes,No,5.2,5.2,4.8,4.8,9.1,5.4,8.9,7.5,BURNABY
https://www.remax.ca/luxury/bc/vancouver-real-estate/419-e-23rd-avenue-wp_idm00000671-r3019743-lst,3700000,6,6,3127.0,house,"419 E 23RD AVENUE, VANCOUVER, BC V5V 1X7",49.250455,-123.0958974,"Heating: Geothermal, Hot Water, Radiant
Fireplace: Yes
Basement: Finished
Acreage: 0.13
Garage: Yes
Parking Features: Garage Single, Lane Access, Rear Access
Fireplace Features: Gas
Exterior Features: Private Yard
",Geothermal,Yes,Yes,No,Yes,No,No,8.2,5.6,7.6,4.5,8.8,6.1,6.0,5.8,VANCOUVER
https://www.remax.ca/luxury/bc/vancouver-real-estate/1985-w-52nd-avenue-wp_idm00000671-r3019742-lst,4380000,5,5,3515.0,house,"1985 W 52ND AVENUE, VANCOUVER, BC V6P 1J6",49.2244007,-123.1518869,"Heating: Radiant
Fireplace: Yes
Basement: Full
Acreage: 0.12
Garage: Yes
Parking Features: Garage Triple
Fireplace Features: Gas
",Radiant,Yes,Yes,No,Yes,No,No,7.6,8.2,9.3,8.8,9.7,9.4,9.4,6.6,VANCOUVER
https://www.remax.ca/bc/north-vancouver-real-estate/10-897-premier-street-wp_idm00000671-r3019737-lst,1465000,4,4,1522.0,townhouse,"10-897 PREMIER STREET, NORTH VANCOUVER, BC V7J 2G7",49.3151928,-123.02861,"Heating: Electric, Natural Gas
Fireplace: Yes
Garage: Yes
Parking Features: Garage Double, Lane Access, Garage Door Opener
Fireplace Features: Insert, Gas
Exterior Features: Garden, Playground, Balcony
",Electric,Yes,Yes,Yes,Yes,Yes,No,9.3,7.2,9.0,5.4,6.7,10.0,7.9,9.0,NORTH VANCOUVER
https://www.remax.ca/bc/vancouver-real-estate/2548-oxford-street-wp_idm00000671-r3019730-lst,1598000,3,3,1886.0,house,"2548 OXFORD STREET, VANCOUVER, BC V5K 1N1",49.285472,-123.0533547,"Heating: Baseboard, Forced Air
Fireplace: Yes
Basement: Full
Acreage: 0.09
Garage: Yes
Parking Features: Garage Single, Lane Access
Fireplace Features: Gas
Exterior Features: Garden, Private Yard
",Baseboard,Yes,Yes,Yes,Yes,No,No,7.8,7.8,9.4,4.7,8.4,6.6,9.5,3.7,VANCOUVER
https://www.remax.ca/luxury/bc/vancouver-real-estate/3810-1289-hornby-street-wp_idm00000671-r3019716-lst,2388000,2,2,1413.0,condo,"3810-1289 HORNBY STREET, VANCOUVER, BC V6Z 0G7",49.2778952,-123.1297804,"Heating: Heat Pump
Garage: Yes
Parking Features: Underground, Rear Access, Garage Door Opener
Exterior Features: Balcony
",Heat Pump,Yes,Yes,No,No,Yes,No,6.6,8.7,4.2,4.9,5.4,6.8,8.3,8.8,VANCOUVER
https://www.remax.ca/bc/burnaby-real-estate/308-4888-brentwood-drive-wp_idm00000671-r3019726-lst,699000,2,2,834.0,condo,"308-4888 BRENTWOOD DRIVE, BURNABY, BC V5C 0C6",49.2658008,-122.9928559,"Heating: Baseboard, Electric
Fireplace: Yes
Garage: Yes
Parking Features: Underground, Rear Access, Garage Door Opener
Fireplace Features: Insert
Exterior Features: Balcony
",Baseboard,Yes,Yes,No,Yes,Yes,No,8.0,7.2,9.0,9.9,8.3,5.2,8.5,8.3,BURNABY
https://www.remax.ca/bc/vancouver-real-estate/2-4463-walden-street-wp_idm00000671-r3019720-lst,2268000,4,4,1650.0,duplex,"2-4463 WALDEN STREET, VANCOUVER, BC V5V 3S4",49.2450252,-123.1002525,"Heating: Heat Pump
Fireplace: Yes
Basement: None
Acreage: 0.10
Garage: Yes
Fireplace Features: Electric
Exterior Features: Private Yard
",Heat Pump,Yes,No,No,Yes,No,No,9.1,7.4,5.2,6.5,7.1,6.5,7.3,7.7,VANCOUVER
